Date,County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Last_Update,Latitude,Longitude,New_Death
2020-03-14,Tarrant,Texas,3,,0,0.0,2020-03-14 12:04 EDT,32.8173,-97.07655,
2020-03-14,Montgomery,Texas,3,,0,0.0,2020-03-14 12:04 EDT,30.38862,-95.69633,
2020-03-14,Travis,Texas,3,,0,0.0,2020-03-14 12:04 EDT,30.3346227,-97.7821898,
2020-03-14,Smith,Texas,3,,0,0.0,2020-03-14 12:04 EDT,32.375056,-95.2691026,
2020-03-14,Gregg,Texas,1,,0,0.0,2020-03-14 12:04 EDT,32.480624600000006,-94.816991,
2020-03-14,Bexar,Texas,1,,0,0.0,2020-03-14 12:04 EDT,29.4489207,-98.52000770000001,
2020-03-14,El Paso,Texas,1,,0,0.0,2020-03-14 12:04 EDT,31.759159999999998,-106.48749,
2020-03-14,Bell,Texas,1,,0,0.0,2020-03-14 12:04 EDT,31.0376588,-97.4780738,
2020-03-14,Bergen,New Jersey,15,,1,0.0666667,2020-03-14 12:04 EDT,40.9594915,-74.074442,
2020-03-14,Monmouth,New Jersey,8,,0,0.0,2020-03-14 12:04 EDT,40.2600411,-74.2219463,
2020-03-14,Middlesex,New Jersey,6,,0,0.0,2020-03-14 12:04 EDT,40.57936,-74.50067,
2020-03-14,Hudson,New Jersey,4,,0,0.0,2020-03-14 12:04 EDT,40.740342299999995,-74.07410970000001,
2020-03-14,Burlington,New Jersey,3,,0,0.0,2020-03-14 12:04 EDT,40.07687,-74.85775,
2020-03-14,Essex,New Jersey,3,,0,0.0,2020-03-14 12:04 EDT,40.7877926,-74.2476006,
2020-03-14,Morris,New Jersey,3,,0,0.0,2020-03-14 12:04 EDT,40.862019000000004,-74.5442741,
2020-03-14,Camden,New Jersey,2,,0,0.0,2020-03-14 12:04 EDT,39.94525,-75.11913,
2020-03-14,Passaic,New Jersey,2,,0,0.0,2020-03-14 12:04 EDT,40.86034,-74.12374,
2020-03-14,Union,New Jersey,1,,0,0.0,2020-03-14 12:04 EDT,40.69635,-74.26957,
2020-03-14,Somerset,New Jersey,1,,0,0.0,2020-03-14 12:04 EDT,40.49859,-74.52249,
2020-03-14,Ocean,New Jersey,1,,0,0.0,2020-03-14 12:04 EDT,39.90927429999999,-74.2969653,
2020-03-14,Mercer,New Jersey,1,,0,0.0,2020-03-14 12:04 EDT,40.2833191,-74.70157370000001,
2020-03-14,Cook,Illinois,40,,0,0.0,2020-03-14 12:04 EDT,41.84014929999999,-87.8168232,
2020-03-14,Kane,Illinois,2,,0,0.0,2020-03-14 12:04 EDT,41.9388756,-88.42863929999999,
2020-03-14,McHenry,Illinois,2,,0,0.0,2020-03-14 12:04 EDT,42.326209999999996,-88.26731,
2020-03-14,Lake,Illinois,2,,0,0.0,2020-03-14 12:04 EDT,42.3232765,-88.0035345,
2020-03-14,Montgomery,Pennsylvania,18,,0,0.0,2020-03-14 12:04 EDT,40.210894200000006,-75.36736379999999,
2020-03-14,Delaware,Pennsylvania,6,,0,0.0,2020-03-14 12:04 EDT,39.9167251,-75.39898559999999,
2020-03-14,Monroe,Pennsylvania,3,,0,0.0,2020-03-14 12:04 EDT,41.0581159,-75.33939790000001,
2020-03-14,Philadelphia,Pennsylvania,3,,0,0.0,2020-03-14 12:04 EDT,39.952220000000004,-75.16218,
2020-03-14,Bucks,Pennsylvania,3,,0,0.0,2020-03-14 12:04 EDT,40.336940399999996,-75.1067941,
2020-03-14,Cumberland,Pennsylvania,3,,0,0.0,2020-03-14 12:04 EDT,40.1636766,-77.26538070000001,
2020-03-14,Wayne,Pennsylvania,1,,0,0.0,2020-03-14 12:04 EDT,41.648788,-75.30324859999999,
2020-03-14,Northampton,Pennsylvania,1,,0,0.0,2020-03-14 12:04 EDT,40.6836,-75.49108000000001,
2020-03-14,Pike,Pennsylvania,1,,0,0.0,2020-03-14 12:04 EDT,41.332025,-75.0338235,
2020-03-14,Chester,Pennsylvania,1,,0,0.0,2020-03-14 12:04 EDT,39.9732037,-75.7484515,
2020-03-14,Washington,Pennsylvania,1,,0,0.0,2020-03-14 12:04 EDT,40.16752,-80.24648,
